"id","serial_number","department_id","user_id","bld","ba","score","tray_area","food_pixel","mixed_food_pixel","scanned_at","created_at","updated_at","deleted_at","tantan_score"
111770,"1006400864200000B",269,17147,L,A,1.0,7750.5894,432.1666,0.0,"2024-11-26 12:17:41","2024-11-26 12:17:40","2024-11-26 12:17:40",,10.0
111773,"1006400864200000B",269,17184,L,A,1.0,7479.4863,1489.4187,0.0,"2024-11-26 12:18:59","2024-11-26 12:18:59","2024-11-26 12:18:59",,10.0
111779,"10064008642000011",269,16930,L,A,1.0,9005.375,0.0,0.0,"2024-11-26 12:21:20","2024-11-26 12:21:19","2024-11-26 12:21:19",,10.0
111791,"1006400864200000B",269,17154,L,A,1.0,7334.9087,1128.2759,0.0,"2024-11-26 12:22:45","2024-11-26 12:22:44","2024-11-26 12:22:44",,10.0
111800,"1006400864200000B",269,17177,L,A,1.0,7617.1074,165.48267,0.0,"2024-11-26 12:23:37","2024-11-26 12:23:37","2024-11-26 12:23:37",,10.0
111819,"1006400864200000B",269,17155,L,A,1.0,7446.7363,457.1858,0.0,"2024-11-26 12:24:30","2024-11-26 12:24:29","2024-11-26 12:24:29",,10.0
111828,"10064008642000011",269,16954,L,A,1.0,9494.061,992.5259,0.0,"2024-11-26 12:26:16","2024-11-26 12:25:23","2024-11-26 12:26:15",,10.0
111838,"10164000044A0002A",269,17146,L,A,1.0,7738.477,1818.4341,0.0,"2024-11-26 12:26:07","2024-11-26 12:26:07","2024-11-26 12:26:07",,10.0
111842,"10064008642000025",269,16939,L,A,1.0,9642.522,0.0,0.0,"2024-11-26 12:26:15","2024-11-26 12:26:15","2024-11-26 12:26:15",,10.0
111851,"1006400864200000B",269,17117,L,A,1.0,8186.7856,399.29855,0.0,"2024-11-26 12:26:45","2024-11-26 12:26:45","2024-11-26 12:26:45",,10.0
111855,"10164000044A0002A",269,17118,L,A,1.0,9099.1875,178.0461,0.0,"2024-11-26 12:27:09","2024-11-26 12:27:09","2024-11-26 12:27:09",,10.0
111864,"10164000044A0002A",269,17057,L,A,1.0,7804.9727,400.74487,0.0,"2024-11-26 12:27:40","2024-11-26 12:27:40","2024-11-26 12:27:40",,10.0
111868,"10164000044A0002A",269,17178,L,A,1.0,9362.493,513.99756,0.0,"2024-11-26 12:27:58","2024-11-26 12:27:58","2024-11-26 12:27:58",,10.0
111870,"10064008642000011",269,17000,L,A,1.0,9738.822,762.45483,0.0,"2024-11-26 12:28:05","2024-11-26 12:28:04","2024-11-26 12:28:04",,10.0
111885,"1006400864200000B",269,17126,L,A,1.0,7478.6343,1676.1697,0.0,"2024-11-26 12:29:35","2024-11-26 12:29:34","2024-11-26 12:29:34",,10.0
111891,"10064008642000011",269,16979,L,A,1.0,9839.8125,3713.7314,0.0,"2024-11-26 12:29:53","2024-11-26 12:29:52","2024-11-26 12:29:52",,10.0
